name,lat,lon
Ke Štěrkovně,49.957176,14.371549
Dreyerova,50.036392,14.383009
Raichlova,50.03913,14.328331
Hadovitá,50.05153,14.45715
Lázeňka,50.058384,14.584743
U Vojenské nemocnice,50.090183,14.363919
Balabenka,50.104023,14.482588
Lihovar,50.05126,14.409636
Vypich,50.079872,14.34559
Přímské náměstí,50.09891,14.678395
Opatov,50.027695,14.508401
Poliklinika Na Dlouhém Lánu,50.096733,14.364944
Rooseveltova,50.10378,14.399746
Spojovací,50.091747,14.498804
Severozápadní,50.046867,14.476215
Klíčov,50.116818,14.514342
Malešický park,50.08631,14.496203
K Dubečku,50.055325,14.5644
Otakarova,50.06558,14.440476
Levského,50.00547,14.437288
Drinopol,50.08394,14.371135
Sídlištní,50.12704,14.378374
Libeňský most,50.10341,14.464732
Zahradní Město,50.060547,14.505883
Nádraží Holešovice,50.109043,14.439334
Univerzitní,50.085228,14.502483
Lochkov,50.002983,14.352734
Sovenická,50.1372,14.547018
Želivského,50.078533,14.473886
Lysolaje,50.126724,14.367412
V Ladech,50.013256,14.513739
Nad Zlíchovem,50.045235,14.404467
Lukavecká,50.116165,14.61756
Teplárna Michle,50.05282,14.474681
Kobyliská střelnice,50.130966,14.460742
Bojasova,50.132534,14.462613
Nad Džbánem,50.094025,14.33696
Na Vrstevnici,50.036545,14.435909
U Palaty,50.077194,14.388019
Strážní,50.092255,14.481275
Cílkova,50.016502,14.443309
Špejchar,50.097458,14.409987
Českomalínská,50.104683,14.403407
Kabešova,50.10239,14.508167
Na Blanici,50.03689,14.582823
Psohlavců,50.02639,14.417341
Kublov,50.054466,14.418098
Václavka,50.06521,14.39332
Libuš,50.008957,14.455713
Bryksova,50.102215,14.578947
Olšanská,50.08345,14.464969
Zahradnictví,50.003162,14.384061
Násirovo náměstí,50.00138,14.421616
Podolská vodárna,50.058975,14.419935
Palouček,50.061493,14.43721
Odra,50.13086,14.424155
K Housličkám,50.129528,14.366734
K Třebonicům,50.036686,14.299112
Rousínovská,50.146225,14.571388
V Uličce,50.041443,14.395779
Nad Laurovou,50.062386,14.395878
K Noskovně,50.11145,14.325092
Lahovičky,50.000176,14.395802
Vinice,50.07687,14.488836
Na Plácku,49.966065,14.394441
Tuháňská,50.158344,14.542675
Hellichova,50.084923,14.404324
Novoborská,50.12628,14.498531
Michnovka,50.039444,14.397184
Vinořský hřbitov,50.14472,14.579728
Břetislavka,50.123127,14.38971
Dvorce,50.047024,14.414782
Zvonařka,50.070915,14.434498
Na Srpečku,50.037914,14.399964
Delta,50.047188,14.457494
Hlubočepy,50.042522,14.40461
Na Vaňhově,50.08014,14.626659
Sídliště Modřany,50.00524,14.433165
Škola Radotín,49.981247,14.360491
V Zátiší,50.02259,14.4327
Pod Hradem,50.03824,14.637688
Vrbova,50.03184,14.426926
Výstaviště Letňany,50.128574,14.512837
Skalka,50.068222,14.507793
Přístav Holešovice,50.104706,14.455816
Chaplinovo náměstí,50.03515,14.377419
Italská,50.078163,14.436041
Osadní,50.103127,14.446531
U Lesíka,50.06471,14.358576
I. P. Pavlova,50.07511,14.430415
Ctěnický zámek,50.148277,14.562317
Rajská zahrada,50.106567,14.559867
Břevnovský klášter,50.08319,14.358776
Hostivařské náměstí,50.050125,14.526367
Sportovní centrum Řepy,50.067047,14.295549
Hradební,50.0907,14.427097
Sibiřské náměstí,50.10461,14.405958
K Barrandovu,50.03528,14.383079
Dopravní hřiště Vypich,50.08172,14.343912
Podhajská pole,50.1297,14.430872
Pod Lipkami,50.07296,14.373112
Ke Březině,49.99409,14.46779
Lipany,49.999405,14.617857
Na Pískách,50.098858,14.369652
Sekeřická,50.113052,14.610129
Myšlínská,50.062164,14.534336
U Radiály,50.07565,14.553709
Sídliště Baba,50.115974,14.386904
Nemocnice Bohnice - Centrální terapie,50.137318,14.423623
Újezd u Průhonic,50.01265,14.546397
K Holyni,50.02043,14.359447
Libeňský zámek,50.10845,14.472282
Nové Dvory,50.017433,14.447873
Pod Vyhlídkou,50.095123,14.376597
Cholupický hřbitov,49.984207,14.461081
Sulická,50.026474,14.44565
Běchovice,50.081207,14.61692
Karenova,50.063385,14.368306
Libocká,50.08676,14.329247
Vinořská,50.139988,14.575898
U Dobešky,50.040196,14.419165
Brodského,50.03861,14.503559
Dvorní,50.147533,14.448384
Závodiště Chuchle,50.00759,14.388886
U Jankovky,49.988205,14.367934
Sídliště Letňany,50.14267,14.506805
Malešická,50.086506,14.481972
Sídliště Hloubětín,50.106472,14.542492
Mototechna,50.05413,14.316309
Kunratická škola,50.013325,14.481635
Metodějova,50.02616,14.521135
Studentský dům,50.105896,14.390012
Slavínského,50.03307,14.385977
Nová kolonie,50.050644,14.327984
Kolovraty,50.016052,14.621393
V Mokřinách,50.020184,14.407799
Krematorium Strašnice,50.07724,14.484958
Pod Šafránkou,50.07335,14.348434
Nové Podolí,50.04348,14.429674
Bruselská,50.073006,14.433263
Třebešovská,50.115555,14.625996
U Žlábku,49.959656,14.36679
V Nových domcích,50.056507,14.533917
Za Chalupami,50.005264,14.356125
Olgy Havlové,50.08744,14.478865
Klánovice,50.098976,14.685684
Nad Markétou,50.083515,14.346944
Zbraslavské náměstí,49.976147,14.393577
Škola Radlice,50.0597,14.393622
Nemocnice Bohnice - Ředitelství,50.13401,14.423561
Nádraží Hlubočepy,50.041275,14.394186
Jana Masaryka,50.07329,14.441085
Pod Rapidem,50.072258,14.484167
Okrouhlická,50.11968,14.460331
Dubečský hřbitov,50.052498,14.580454
Na Proutcích,50.01319,14.502717
Kbelská,50.10527,14.532887
Průběžná,50.07152,14.486185
Myslíkova,50.078068,14.418499
Přírodní,50.01329,14.452831
Vozovna Žižkov,50.091503,14.475054
Zámky,50.13677,14.395045
Hercovka,50.121964,14.452263
Jirčanská,50.00598,14.45903
Hasičská stanice Modřany,50.005962,14.439932
Lhotka,50.02092,14.438337
Na Cikorce,50.01214,14.412666
Krčský hřbitov,50.04628,14.439446
Novozámecká,50.089333,14.569764
Kudrnova,50.072285,14.343967
Hrazanská,49.97781,14.439549
Lužiny,50.044495,14.330442
Madlina,50.120316,14.484501
Břevnovská,50.08551,14.364904
Nové Butovice,50.050976,14.352276
Písková,50.003082,14.417576
Volha,50.021496,14.493436
Murmanská,50.073425,14.4795
Třeboradický hřbitov,50.15927,14.523401
Čimický háj,50.127327,14.435609
Ke Stírce,50.12283,14.456011
Čechův most,50.094055,14.417288
Arena Libeň jih,50.10289,14.494593
Mikulova,50.031944,14.51469
Starý Prosek,50.118015,14.49098
Ryšánka,50.04059,14.438438
Logistická zóna Horní Počernice,50.11541,14.591761
Volyňská,50.07361,14.472181
Botanická zahrada,50.070778,14.419264
Park Rajská zahrada,50.08262,14.444033
Škola Poštovka,50.069,14.355196
Nemocnice Bohnice - Hlavní vrátnice,50.135868,14.428747
Rokycanova,50.086166,14.455483
Sudějovická,50.07525,14.665745
Střelničná,50.12577,14.458929
Jindřišská,50.0852,14.430471
Ke Hrázi,50.086815,14.576322
Čertův vršek,50.117233,14.474052
Doliny,50.05746,14.424447
Zelený pruh,50.039272,14.427514
Na Homoli,50.076283,14.530405
Milíčov,50.026974,14.530675
Ústavy Akademie věd,50.017975,14.466885
Doležalova,50.10185,14.570204
Klikovka,50.057,14.430601
Hněvkovského,50.032337,14.518292
Kolonie,50.09339,14.525186
Lahovice,49.988148,14.398203
Měchenická,50.050118,14.488535
Zadní Jiviny,50.07704,14.298637
Větrník,50.089527,14.350169
Mrázovka,50.068413,14.392519
Krystalová,50.155357,14.52243
Poliklinika Malešice,50.080376,14.501652
Hostivařský pivovar,50.046715,14.550562
Ke Kateřinkám,50.02494,14.515071
Nad Dvorem,50.009728,14.633084
Vinohradské hřbitovy,50.07773,14.480093
Sídliště Horní Počernice,50.11129,14.614161
Sídliště Skalka,50.06266,14.511165
Do Rybníčků,50.14965,14.4452
Živcová,49.9908,14.368361
Starodejvická,50.09691,14.371309
Tylova čtvrť,50.008125,14.415525
Baba I,49.998253,14.415096
Nádraží Libeň,50.101708,14.502612
Choceradská,50.043144,14.490264
Nad Konvářkou,50.053806,14.399128
U Tří svatých,50.01155,14.477419
V Zápolí,50.046684,14.468173
Štěchovická,50.072094,14.500773
V Remízku,50.026146,14.36858
Kazanka,50.117294,14.42804
Hasičská,50.07828,14.603679
Nádraží Satalice,50.123566,14.571158
Praha-Radotín,49.985874,14.364065
Nad Rybníky,50.03705,14.447517
Praha-Běchovice,50.082195,14.598027
Nákladové nádraží Žižkov,50.084732,14.469899
Na Pastvinách,50.10086,14.344557
Zemanka,50.039177,14.423183
Studenecká,50.087124,14.575806
Chodov,50.031216,14.49133
Pacoldova vápenka,50.014206,14.373082
Ciolkovského,50.087936,14.306892
Dehtínská,49.97665,14.344787
Na Míčánkách,50.071125,14.46415
Kateřinky,50.020584,14.520184
Hájová,50.017433,14.652709
Donovalská,50.03694,14.508718
Ke Xaverovu,50.099667,14.6238
Dejvická,50.100925,14.39318
Ordovická,50.05999,14.332217
Na Křečku,50.04418,14.567109
Zálužická,49.99063,14.442199
Zentiva,50.061592,14.546316
Štvanice,50.09527,14.436951
Děkanka,50.053345,14.430969
Sicherova,50.115147,14.56111
Nemocnice Na Homolce,50.075676,14.354425
Platónova,49.998795,14.41676
Perspektivní,50.072002,14.557529
Dolní Šárka,50.115723,14.373972
Líbeznická,50.128944,14.455515
Cholupické náměstí,49.988464,14.448948
Obora Hvězda,50.078316,14.34173
Terminál 1,50.107456,14.268614
Na Radosti,50.060516,14.298967
Dubeček,50.055992,14.579943
Lehovec,50.106968,14.547567
U Lomů,49.996952,14.338987
Vrážská,49.989964,14.370008
Stachova,50.0353,14.531261
Šeberov,50.018158,14.510693
U Elektry,50.10347,14.518999
Pávovské náměstí,50.09321,14.540859
Breitcetlova,50.10614,14.574526
Na Bojišti,50.072857,14.427423
Poliklinika Modřany,50.004738,14.418321
Starý Zličín,50.06172,14.280451
Na Lysinách,50.022312,14.412663
Otakara Vrby,50.076603,14.603355
Bílá labuť,50.09026,14.435867
Vinohradská vodárna,50.075398,14.449725
Krymská,50.071934,14.447405
Sezemická,50.124542,14.619257
Hanspaulka,50.104687,14.373024
Zdická,49.977566,14.350594
Bazén Hloubětín,50.104477,14.535576
Vožická,50.00937,14.493198
Boloňská,50.04773,14.556165
